input bits,output bits,mean,standard deviation,min error,max error
17,12,-3.7197e-05,0.00162878,-0.00635916,0.00628836
17,13,-1.64974e-05,0.000868639,-0.00353489,0.00353489
17,14,-2.14772e-05,0.000461381,-0.00186311,0.00198581
17,15,-4.48013e-06,0.000246136,-0.00100862,0.00113132
17,16,-3.52808e-06,0.000126324,-0.000567137,0.000643038
17,17,-1.09954e-06,6.71888e-05,-0.000305133,0.000307344
17,18,-8.2847e-07,3.5811e-05,-0.000158641,0.000187186
17,19,-1.19297e-07,1.97991e-05,-8.99769e-05,8.99769e-05
17,20,-2.36032e-07,1.36766e-05,-5.7208e-05,5.33933e-05
17,21,-1.13883e-07,1.18939e-05,-5.15685e-05,5.34759e-05
17,22,-5.21395e-08,1.13319e-05,-5.06149e-05,4.96612e-05
17,23,-1.76278e-08,1.11278e-05,-5.10091e-05,5.05323e-05
17,24,-2.46127e-08,1.11063e-05,-5.02939e-05,5.02939e-05
17,25,-1.05074e-08,1.11175e-05,-5.01747e-05,5.00555e-05
17,26,-5.46152e-10,1.11133e-05,-4.99362e-05,4.99362e-05
17,27,-5.65933e-10,1.11168e-05,-4.98766e-05,4.99064e-05
17,28,-1.24703e-09,1.11173e-05,-4.98766e-05,4.98617e-05
17,29,-5.90148e-10,1.11175e-05,-4.98692e-05,4.98617e-05
17,30,-1.6054e-10,1.11168e-05,-4.98543e-05,4.9858e-05
17,31,-1.14234e-10,1.11169e-05,-4.98524e-05,4.98524e-05
17,32,-6.39683e-14,1.11169e-05,-4.98543e-05,4.98543e-05
18,4,-0.00669289,0.229989,-0.593659,0.593659
18,5,-0.0143895,0.113365,-0.30877,0.252945
18,6,-0.00393081,0.0609688,-0.144607,0.18761
18,7,-0.00346678,0.0387315,-0.113814,0.113814
18,8,-0.00142166,0.0196782,-0.0648639,0.0639294
18,9,-0.00031276,0.01084,-0.0349796,0.0349796
18,10,-0.000210285,0.00609082,-0.0188334,0.0209607
18,11,-0.000164948,0.00303054,-0.0111479,0.0131482
18,12,-3.71691e-05,0.00162801,-0.00638306,0.00631226
18,13,-1.64937e-05,0.000867994,-0.00353525,0.00353525
18,14,-2.14772e-05,0.000461027,-0.00186311,0.00200978
18,15,-4.48362e-06,0.000246037,-0.00100862,0.00115528
18,16,-3.5268e-06,0.000125785,-0.000567137,0.000667004
18,17,-1.10012e-06,6.71268e-05,-0.000303034,0.00033131
18,18,-8.27247e-07,3.4254e-05,-0.000154756,0.000187186
18,19,-1.19369e-07,1.83763e-05,-7.95402e-05,7.95402e-05
18,20,-2.36083e-07,1.03305e-05,-4.67682e-05,4.53121e-05
18,21,-1.13763e-07,7.38117e-06,-3.59556e-05,3.59556e-05
18,22,-5.20922e-08,6.41571e-06,-3.00549e-05,3.00549e-05
18,23,-1.7606e-08,6.10046e-06,-2.86244e-05,2.86244e-05
18,24,-2.46073e-08,6.03833e-06,-2.79158e-05,2.76774e-05
18,25,-1.05088e-08,6.03041e-06,-2.7439e-05,2.7439e-05
18,26,-5.49107e-10,6.02305e-06,-2.72602e-05,2.72602e-05
18,27,-5.66956e-10,6.02097e-06,-2.73496e-05,2.729e-05
18,28,-1.24757e-09,6.02253e-06,-2.73496e-05,2.73496e-05
18,29,-5.90262e-10,6.02195e-06,-2.73645e-05,2.73645e-05
18,30,-1.60561e-10,6.02132e-06,-2.73608e-05,2.7357e-05
18,31,-1.14206e-10,6.02155e-06,-2.73589e-05,2.73589e-05
18,32,-3.37703e-14,6.02142e-06,-2.73552e-05,2.73552e-05
19,4,-0.00669265,0.22999,-0.593659,0.593659
19,5,-0.0143894,0.113365,-0.30877,0.252945
19,6,-0.00393069,0.0609697,-0.144607,0.18761
19,7,-0.00346678,0.0387314,-0.113814,0.113814
